"VelocidadViento","Humedad","Temperatura","DiaFestivo","DiaSemana","DiaNoLaborable","Estacion","Clima","Fecha","Año","Mes","Hora","Total"
0,0.8,0.22,0,6,0,1,1,"2011-01-01",0,1,2,37
0,0.76,0.32,0,6,0,1,1,"2011-01-01",0,1,9,15
0.2537,0.87,0.4,0,6,0,1,2,"2011-01-01",0,1,20,44
0.2537,0.94,0.44,0,0,0,1,2,"2011-01-02",0,1,1,17
0.194,0.94,0.46,0,0,0,1,2,"2011-01-02",0,1,3,9
0.2239,0.81,0.36,0,0,0,1,2,"2011-01-02",0,1,10,57
0.4478,0.42,0.32,0,0,0,1,1,"2011-01-02",0,1,19,33
0.3582,0.44,0.22,0,1,1,1,1,"2011-01-03",0,1,0,6
0.2537,0.43,0.18,0,1,1,1,1,"2011-01-03",0,1,10,50
0.1045,0.55,0.18,0,1,1,1,1,"2011-01-03",0,1,23,16
0.1343,0.63,0.14,0,2,1,1,1,"2011-01-04",0,1,2,2
0.1045,0.74,0.12,0,2,1,1,1,"2011-01-04",0,1,6,43
0.3284,0.69,0.16,0,2,1,1,2,"2011-01-04",0,1,10,49
0.194,0.56,0.24,0,2,1,1,1,"2011-01-04",0,1,13,100
0.0896,0.74,0.16,0,3,1,1,1,"2011-01-05",0,1,2,9
0.2239,0.47,0.2,0,3,1,1,1,"2011-01-05",0,1,6,36
0.2985,0.3,0.28,0,3,1,1,1,"2011-01-05",0,1,13,72
0.0896,0.28,0.3,0,3,1,1,1,"2011-01-05",0,1,16,94
0.194,0.51,0.2,0,3,1,1,1,"2011-01-05",0,1,21,49
0.1045,0.63,0.14,0,4,1,1,2,"2011-01-06",0,1,6,40
0,0.47,0.2,0,4,1,1,1,"2011-01-06",0,1,10,51
0.2239,0.55,0.22,0,4,1,1,2,"2011-01-06",0,1,21,51
0,0.69,0.2,0,5,1,1,2,"2011-01-07",0,1,6,36
0.2537,0.51,0.2,0,5,1,1,1,"2011-01-07",0,1,8,215
0.2537,0.37,0.2,0,5,1,1,2,"2011-01-07",0,1,12,64
0.1045,0.93,0.16,0,6,0,1,3,"2011-01-08",0,1,9,25
0.3582,0.59,0.2,0,6,0,1,2,"2011-01-08",0,1,12,104
0.5522,0.37,0.16,0,6,0,1,1,"2011-01-08",0,1,17,72
0.4478,0.39,0.1,0,6,0,1,1,"2011-01-08",0,1,23,27
0.194,0.53,0.08,0,0,0,1,1,"2011-01-09",0,1,4,6
0.5224,0.46,0.12,0,0,0,1,1,"2011-01-09",0,1,9,22
0.4627,0.32,0.22,0,0,0,1,1,"2011-01-09",0,1,14,78
0.3881,0.37,0.18,0,0,0,1,1,"2011-01-09",0,1,17,70
0.3284,0.43,0.16,0,0,0,1,1,"2011-01-09",0,1,19,46
0.2239,0.5,0.12,0,1,1,1,1,"2011-01-10",0,1,3,6
0.2836,0.5,0.12,0,1,1,1,2,"2011-01-10",0,1,8,188
0.2239,0.4,0.2,0,1,1,1,1,"2011-01-10",0,1,18,155
0.1642,0.5,0.16,0,1,1,1,1,"2011-01-10",0,1,20,80
0.1642,0.59,0.14,0,1,1,1,1,"2011-01-10",0,1,23,24
0.1045,0.59,0.14,0,2,1,1,1,"2011-01-11",0,1,0,17
0.1642,0.59,0.14,0,2,1,1,1,"2011-01-11",0,1,1,7
0.0896,0.51,0.18,0,2,1,1,2,"2011-01-11",0,1,8,218
0.1343,0.47,0.2,0,2,1,1,2,"2011-01-11",0,1,11,43
0.194,0.93,0.16,0,2,1,1,3,"2011-01-11",0,1,20,36
