ID,Longitude,Latitude,CoastDist,MAT,Precip,JuMin,JuMax,JuMean,JaMin,JaMax,JaMean,TempR,GS32,GS28,PE,ET,Elevation,Texture,AWCAvg,Permeab,PM100,PM200,PM300,PM400,PM500,PM600,SolRad6,SolRad12,SolRad,QUDO,QUDO_BA
1,-119.4666,36.99337,214.657,15.27778,524.96716,15.55556,35.34444,25.45,0,13.33333,6.66667,18.78333,208.3,261.10001,671.06799,212.09,426.72,2,71.374,1,2,0,0,0,0,0,28.7791,11.1782,7589.854,1,60
2,-120.9254,36.69971,76.342,16.05,258.44501,15.24444,35.9,25.57222,1.36111,13.62778,7.49444,18.07778,204.10001,253.5,762,246.634,777.23999,3,92.202,1,0,0,0,0,0,3,27.6983,5.4954,6005.94385,1,46
3,-120.9693,36.67169,73.139,15.9,308.229,14.16667,35.67222,24.91945,0.94999,13.97222,7.46111,17.45833,189.2,241.60001,737.61603,257.556,853.44,3,92.202,1,0,0,0,0,0,5,27.1982,9.4341,6886.51904,1,28
4,-120.9675,36.64655,73.961,15.88333,291.71899,14.31667,35.72222,25.01944,0.88333,14.05,7.46667,17.55278,185.7,238.5,740.664,259.33401,731.52002,4,92.202,1,0,0,0,0,0,0,23.4741,3.2514,4656.30176,1,18
5,-120.9912,36.6056,81.372,15.77778,324.104,14.03889,35.72222,24.88056,0.22222,14.30556,7.26389,17.61667,180.5,235.39999,722.12201,264.668,701.03998,2,92.202,3,0,0,0,0,2,0,26.4345,2.4325,4979.09082,1,34
6,-120.9508,36.58549,81.698,15.85,307.34,14.93333,35.87222,25.40278,0.83333,14.20556,7.51944,17.88333,182.10001,228.89999,752.85602,261.112,701.03998,6,92.202,1,0,0,0,0,0,3,27.4565,3.5833,5486.62695,1,38
7,-120.978,36.58189,79.902,15.74444,354.99039,14.16667,35.61111,24.88889,0.22222,14.36111,7.29167,17.59722,175,230,727.96399,266.70001,670.56,3,175.51401,3,0,0,0,0,0,3,28.2748,4.9832,5990.3252,1,20
8,-120.9649,36.55028,77.848,15.73889,428.7012,14.01111,35.73889,24.875,0,14.49444,7.24722,17.62778,175,228.5,730.25,267.97,792.47998,2,175.51401,1,0,0,0,0,2,0,29.9832,10.6605,7660.47998,1,9
9,-120.9377,36.5316,77.817,15.75,435.3306,14.93333,34.93333,24.93333,0.43888,14.36111,7.4,17.53333,175,225,750.31598,263.90601,853.44,4,175.51401,5,0,0,0,0,2,0,24.5629,1.7651,4166.76123,1,5
10,-120.9245,36.52729,78.22,15.76111,424.02762,14.93333,34.68889,24.81111,0.43888,14.36111,7.4,17.41111,175,225,762,262.38199,883.91998,4,175.51401,1,0,0,0,0,0,3,27.8936,3.5737,5562.64209,1,11
11,-120.9254,36.51149,76.879,15.76111,461.31482,14.86111,34.56667,24.71389,0.22222,14.38889,7.30556,17.40833,175,225,762,260.858,1066.80005,4,175.51401,1,0,0,0,0,0,3,29.7613,13.2631,8234.52539,1,2
12,-120.9956,36.50502,72.207,15.58889,475.66577,13.39444,35.12222,24.25833,0,14.67778,7.33889,16.91945,175,235,704.08801,271.272,853.44,4,175.51401,1,0,0,0,0,0,3,30.0202,8.8256,7224.89893,1,13
13,-120.8652,36.55459,84.119,15.96667,303.80942,16.17222,34.77222,25.47222,1.26667,13.96667,7.61667,17.85556,200,243.7,792.47998,255.524,853.44,2,175.51401,1,0,0,0,0,2,0,27.0509,4.8252,5705.96191,1,24
14,-120.8927,36.52083,79.721,15.85,397.66241,15.7,34.62778,25.16389,0.88333,14.13889,7.51111,17.65278,185,225,777.23999,257.302,731.52002,4,175.51401,1,0,0,0,0,0,3,26.5218,2.4409,4998.604,1,30
15,-121.2044,36.90763,51.436,14.89444,528.85339,12.28333,33.83889,23.06111,1.71111,14.37778,8.04444,15.01667,228.8,288.39999,691.388,270.76401,762,3,106.172,1,0,1,0,0,0,0,28.6161,6.3807,6382.9541,0,0
16,-121.2307,36.90512,49.078,15.03889,532.9682,12.20556,33.37778,22.79167,1.72778,14.51111,8.11944,14.67222,232.60001,292.29999,671.57599,279.39999,914.40002,3,106.172,1,0,0,0,0,0,2,23.4535,1.69,3792.22705,0,0
17,-121.6909,36.82416,7.294,13.55556,511.60681,11.04444,23.19444,17.11944,3.67222,15.55556,9.61389,7.50556,277.79999,354.70001,604.77399,279.39999,76.2,1,109.22,4,0,0,0,0,3,0,27.3438,6.9259,6313.08008,0,0
18,-121.2192,36.82926,49.078,14.97778,452.50101,12.01667,32.91667,22.46667,1.61111,14.62778,8.11944,14.34722,225,291.60001,682.49799,283.46399,579.12,6,106.172,3,0,0,0,0,0,2,28.5404,9.3752,7107.63721,0,0
19,-121.2173,36.76778,49.519,15.05556,346.98941,11.95556,32.45,22.20278,1.71667,14.81111,8.26389,13.93889,222.2,293.70001,672.08398,288.54401,381,3,175.51401,1,0,0,0,0,0,2,26.7241,8.8962,6687.45313,1,0
20,-121.0974,36.81453,59.906,14.55556,462.55942,10.40556,32.57778,21.49167,0.92222,15.39444,8.15833,13.33333,190.89999,318.70001,558.79999,148.59,137.16,2,96.774,3,0,0,0,0,2,0,24.2063,4.058,4999.63721,0,0
21,-121.0814,36.76422,61.618,15.4,435.229,12.52778,34.78333,23.65556,0.93333,14.07222,7.50278,16.15278,202,260,694.94397,260.858,609.59998,2,96.774,1,0,0,0,0,0,2,29.5008,9.5846,7322.24121,0,0
22,-121.4057,36.97611,37.062,15.33889,416.50922,12.63889,28.82778,20.73333,2.73889,14.02778,8.38333,12.35,237.5,290.29999,660.40002,211.582,533.40002,4,175.51401,1,0,0,0,0,0,3,27.8741,4.8263,5879.0498,0,0
23,-121.3615,36.97764,40.611,15.28333,410.51483,12.5,28.76667,20.63333,2.78889,14.02778,8.40833,12.225,235.7,289.5,654.04999,213.36,137.16,4,85.09,1,0,0,0,0,0,3,27.4632,6.1128,6129.72607,0,0
24,-121.3891,36.96544,37.837,15.32222,392.4808,12.46667,28.82222,20.64444,2.8,14.30556,8.55278,12.09167,242.8,294.20001,677.164,220.218,106.68,4,175.51401,1,0,0,0,0,0,3,26.6609,4.7764,5652.70703,0,0
25,-121.341,36.96697,41.785,15.22778,404.8252,12.5,28.75556,20.62778,2.85556,14.02778,8.44167,12.18611,238.8,295.39999,660.40002,223.52,152.39999,5,214.37601,1,0,0,0,0,0,3,28.3014,9.8196,7190.30713,0,0
26,-121.3397,36.95121,41.203,14.66667,377.1138,11.89444,29.44444,20.66945,1.98333,14.6,8.29167,12.37778,241.60001,315,647.70001,300.98999,137.16,4,214.37601,1,0,0,0,0,0,3,28.1594,8.857,6932.37988,0,0
