"VelocidadViento","Humedad","Temperatura","DíaFestivo","DíaSemana","DíaNoLaborable","Estación","Clima","Fecha","Año","Mes","Hora","Total"
0.0896,1,0.52,0,6,0,2,3,"2011-05-14",0,5,13,254
0,0.88,0.56,0,2,1,2,3,"2011-05-17",0,5,1,19
0.2537,0.3,0.88,0,6,0,3,1,"2012-06-30",1,6,11,453
0.194,0.17,0.62,0,2,1,2,1,"2012-04-03",1,4,17,762
0,0.82,0.38,0,3,1,4,1,"2012-10-17",1,10,6,182
0.2239,0.65,0.7,0,5,1,2,3,"2011-06-10",0,6,1,27
0.4925,0.94,0.46,0,2,1,2,3,"2011-04-12",0,4,9,57
0,0.83,0.58,0,6,0,2,1,"2012-05-05",1,5,3,37
0.2985,0.37,0.74,0,3,1,3,1,"2011-06-29",0,6,20,339
0.2239,0.56,0.3,0,3,1,4,2,"2012-12-12",1,12,19,406
0.2537,0.4,0.36,0,4,1,4,1,"2012-12-13",1,12,12,286
0.1642,0.89,0.28,0,6,0,4,2,"2012-12-01",1,12,10,257
0.1343,0.83,0.68,0,0,0,3,3,"2012-09-02",1,9,22,168
0.1045,0.88,0.58,0,0,0,3,1,"2011-09-11",0,9,6,27
0.2239,0.87,0.4,0,3,1,1,2,"2011-12-21",0,12,9,239
0.1642,0.73,0.6,0,3,1,2,2,"2012-05-30",1,5,8,673
0.194,0.83,0.64,0,6,0,2,1,"2011-05-28",0,5,23,128
0.194,0.88,0.6,0,4,1,4,2,"2011-09-29",0,9,4,9
0.2836,0.59,0.5,0,3,1,4,1,"2012-12-05",1,12,5,53
0.2985,0.2,0.6,0,3,1,2,1,"2012-04-25",1,4,17,734
0.0896,0.61,0.62,0,3,1,4,2,"2012-10-24",1,10,20,443
0.194,0.38,0.44,0,6,0,2,2,"2012-04-28",1,4,16,381
0.1045,0.78,0.6,0,2,1,2,2,"2012-06-19",1,6,3,11
0.1343,0.75,0.26,0,3,1,4,1,"2012-12-19",1,12,3,8
0.0896,0.48,0.7,0,6,0,2,2,"2011-06-04",0,6,20,246
0,0.94,0.4,0,2,1,4,3,"2011-11-22",0,11,9,155
0.1343,0.6,0.58,0,4,1,2,1,"2011-05-19",0,5,19,417
0.2985,0.88,0.56,0,1,1,2,3,"2012-05-21",1,5,5,17
0,0.42,0.7,0,4,1,2,1,"2012-06-07",1,6,12,340
0.2239,0.88,0.44,0,4,1,4,1,"2012-10-18",1,10,3,7
0.2836,0.39,0.88,0,4,1,2,1,"2011-06-09",0,6,18,472
0.2537,0.87,0.3,0,4,1,2,2,"2011-03-31",0,3,16,91
0.1343,0.87,0.22,0,2,1,1,2,"2011-02-01",0,2,20,80
0.1343,0.88,0.62,0,5,1,3,1,"2011-08-26",0,8,2,24
0.0896,0.64,0.6,0,0,0,2,2,"2012-05-06",1,5,12,565
0.194,0.89,0.66,0,5,1,3,2,"2012-07-20",1,7,7,363
0,0.35,0.9,0,2,1,3,2,"2012-07-17",1,7,12,260
0.1045,0.5,0.36,0,2,1,1,2,"2012-02-14",1,2,22,78
0.1642,0.46,0.6,0,4,1,2,1,"2012-06-07",1,6,22,231
0.2537,0.81,0.3,0,1,1,2,3,"2012-04-23",1,4,7,212
0.2985,1,0.4,0,1,1,1,3,"2011-02-28",0,2,17,84
0.1045,0.42,0.52,0,6,0,1,1,"2012-01-07",1,1,19,217
0.1343,0.66,0.76,0,5,1,2,1,"2011-06-10",0,6,21,225
0.0896,0.67,0.48,0,1,1,4,1,"2012-10-22",1,10,21,179
0.1045,0.88,0.62,0,2,1,3,2,"2011-06-21",0,6,8,407
0.5522,0.3,0.26,0,6,0,1,1,"2012-02-25",1,2,20,111
0.2985,0.31,0.9,0,1,1,3,1,"2011-08-01",0,8,13,154
0,0.42,0.34,0,3,1,4,2,"2012-12-12",1,12,12,239
0.2537,0.77,0.44,0,5,1,1,1,"2012-03-16",1,3,0,62
0.3881,0.41,0.22,0,4,1,1,1,"2011-01-13",0,1,14,45
0.2537,0.56,0.6,0,1,1,2,2,"2012-05-14",1,5,0,39
0.2985,0.55,0.26,0,1,1,1,2,"2012-03-05",1,3,13,125
0,0.88,0.6,0,6,0,3,2,"2012-07-21",1,7,23,151
0.2537,0.31,0.5,1,4,0,4,1,"2011-11-24",0,11,15,149
0.4627,0.22,0.5,0,5,1,2,1,"2012-04-06",1,4,18,491
0.2985,0.93,0.24,0,3,1,2,3,"2011-03-30",0,3,20,46
0.2836,0.89,0.66,0,0,0,3,3,"2011-08-14",0,8,9,108
0,0.65,0.26,0,4,1,4,2,"2012-11-15",1,11,0,41
0.2537,0.3,0.96,0,5,1,3,1,"2011-07-29",0,7,15,176
0.1642,0.79,0.74,0,6,0,3,3,"2011-08-06",0,8,16,349
0.1045,0.58,0.7,0,0,0,2,1,"2011-06-05",0,6,18,366
0.2239,0.68,0.56,0,1,1,4,2,"2012-10-15",1,10,4,13
0.1642,0.47,0.2,1,1,0,1,2,"2011-01-17",0,1,16,86
0.1045,0.83,0.54,0,3,1,2,1,"2012-03-21",1,3,21,256
0.1343,0.93,0.24,0,1,1,1,3,"2012-12-24",1,12,20,27
0.4179,0.44,0.2,0,1,1,1,1,"2011-01-03",0,1,1,4
0.0896,0.73,0.56,0,6,0,2,1,"2012-03-24",1,3,1,136
0.2239,0.81,0.36,0,2,1,1,1,"2012-01-24",1,1,14,175
0.3881,0.48,0.26,0,6,0,4,1,"2011-12-17",0,12,18,161
0.1343,0.5,0.14,0,4,1,1,1,"2012-01-19",1,1,2,8
0.1045,0.83,0.64,0,3,1,3,1,"2012-08-01",1,8,2,16
0.1642,0.49,0.8,0,1,1,3,1,"2012-07-30",1,7,13,227
0,0.51,0.72,0,1,1,2,1,"2011-05-16",0,5,15,169
0,0.71,0.36,0,3,1,1,2,"2011-12-21",0,12,4,6
0.1343,0.78,0.64,0,5,1,4,2,"2012-09-28",1,9,10,249
0.2239,0.82,0.5,0,1,1,2,2,"2012-05-07",1,5,9,351
0,0.59,0.52,0,0,0,2,1,"2012-04-15",1,4,8,103
0,0.69,0.68,0,6,0,3,2,"2012-08-25",1,8,1,119
0.5224,0.26,0.4,0,1,1,2,1,"2012-03-26",1,3,20,225
0.1343,0.73,0.64,0,0,0,2,1,"2012-06-10",1,6,1,120
0.2836,0.71,0.42,0,0,0,4,2,"2011-11-20",0,11,8,67
0.194,0.55,0.8,0,5,1,3,2,"2012-06-22",1,6,18,510
0.1642,0.73,0.62,0,6,0,3,1,"2011-09-03",0,9,3,38
0.1045,0.81,0.34,1,1,0,4,1,"2012-10-08",1,10,3,12
0.3582,0.61,0.68,0,2,1,2,1,"2011-04-26",0,4,17,525
0.2537,0.63,0.52,0,0,0,4,1,"2011-11-20",0,11,14,367
0.2239,0.41,0.26,0,6,0,1,1,"2011-02-12",0,2,20,45
0,0.35,0.26,0,0,0,4,1,"2011-12-11",0,12,12,292
0.1343,0.51,0.5,0,6,0,4,1,"2011-10-15",0,10,19,240
0.1642,0.67,0.46,0,3,1,4,1,"2012-12-05",1,12,2,16
0.1642,0.49,0.34,0,6,0,2,1,"2012-04-28",1,4,4,5
0.2537,0.89,0.66,0,4,1,3,3,"2012-07-19",1,7,21,336
0.1045,0.81,0.26,0,2,1,1,1,"2012-01-10",1,1,23,44
0.0896,0.32,0.84,0,5,1,3,1,"2012-07-06",1,7,11,239
0.2985,0.88,0.56,0,1,1,2,2,"2012-05-21",1,5,3,5
0.2537,0.43,0.6,0,6,0,4,1,"2012-09-29",1,9,15,729
0.194,0.83,0.64,0,3,1,3,1,"2011-06-29",0,6,5,26
0.2985,0.59,0.78,0,0,0,3,1,"2011-07-31",0,7,21,167
0.1642,0.72,0.52,1,1,0,4,1,"2012-11-12",1,11,11,375
0.1343,0.51,0.7,0,5,1,2,1,"2012-05-04",1,5,19,456
0.2836,0.56,0.82,0,3,1,3,2,"2011-06-22",0,6,15,150
0.1045,0.82,0.42,0,1,1,4,1,"2012-12-03",1,12,23,106
0.2537,0.82,0.46,0,1,1,4,2,"2011-10-24",0,10,10,131
0.1642,0.69,0.62,0,4,1,2,2,"2012-06-14",1,6,23,178
0,0.83,0.62,0,3,1,2,2,"2012-05-23",1,5,21,249
0,0.78,0.6,0,4,1,3,1,"2011-09-01",0,9,6,111
0.1642,0.79,0.76,0,4,1,3,2,"2011-07-21",0,7,8,386
0.1045,0.93,0.28,0,5,1,1,2,"2012-02-17",1,2,7,228
0.2985,0.5,0.62,0,3,1,2,1,"2012-06-13",1,6,22,244
0.0896,0.45,0.3,1,5,0,4,1,"2011-11-11",0,11,23,76
0.194,0.65,0.64,0,4,1,2,1,"2012-05-03",1,5,14,205
0.2537,0.64,0.56,0,1,1,4,1,"2012-10-15",1,10,17,772
0.1045,0.7,0.32,0,4,1,1,3,"2012-02-16",1,2,11,72
